mes_num_crb,quant_lesao_corporal_crb,quant_ameaca_crb,quant_roubo_crb,quant_injuria_crb,quant_furto_crb,quant_lesao_no_transito_crb,quant_dano_no_transito_crb,quant_difamacao_crb,quant_homicidio_crb,quant_abandono_do_lar_crb,quant_conflitos_vicinais_crb,quant_conflitos_conjugais_crb,quant_fuga_do_lar_crb,quant_estupro_de_vulneravel_crb,quant_outros_fatos_atipicos_crb,quant_roubo_de_veiculo_crb,quant_estelionato_crb,quant_dano_crb,quant_dano_civil_crb,quant_calunia_crb,quant_conflitos_familiares_crb,quant_trafico_de_drogas_crb,quant_vias_de_fato_crb,quant_apropriacao_indebita_crb,quant_agressao_fisica_crb,quant_receptacao_crb,quant_estupro_crb,quant_desaparecimento_de_pessoa_crb,quant_tentativa_de_homicidio_crb,quant_poluicao_sonora_crb,quant_outras_fraudes_crb,quant_desobediencia_crb,quant_desacato_crb,quant_perturbacoes_da_tranquilidade_crb
5.0,0.1224489795918367,0.0963855421686747,0.0802919708029197,0.0625,0.0618556701030927,0.1,0.0405405405405405,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0566037735849056,0.0625,0.0714285714285714,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.1428571428571428,0.2650602409638554,0.1873479318734793,0.09375,0.095360824742268,0.1666666666666666,0.0337837837837837,0.0555555555555555,0.0,0.2,0.0,0.0,0.2,0.0,0.1333333333333333,0.0,0.303030303030303,0.0,0.0566037735849056,0.0625,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.125
8.0,0.0,0.0602409638554216,0.0097323600973236,0.03125,0.0335051546391752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0,0.0943396226415094,0.0,0.0714285714285714,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.7551020408163265,0.4337349397590361,0.5888077858880779,0.375,0.5360824742268041,0.2333333333333333,0.1689189189189189,0.2222222222222222,0.3571428571428571,0.5,0.3333333333333333,0.1428571428571428,0.2,0.3333333333333333,0.3,0.2285714285714285,0.2727272727272727,0.2941176470588235,0.1886792452830188,0.125,0.5,0.25,0.125,0.2,0.0,0.1666666666666666,0.0,0.2,0.2,0.0,0.0588235294117647,0.0,0.0,0.0
10.0,0.2244897959183672,0.2771084337349397,0.267639902676399,0.34375,0.2061855670103092,0.3333333333333333,0.2297297297297297,0.3333333333333333,0.2142857142857142,0.0,0.0,0.1428571428571428,0.2,0.1666666666666666,0.1555555555555555,0.3142857142857143,0.2727272727272727,0.3529411764705882,0.0377358490566037,0.1875,0.0714285714285714,0.5,0.3125,0.1,0.1111111111111111,0.1666666666666666,0.0,0.2,0.2,0.1111111111111111,0.0588235294117647,0.1666666666666666,0.2,0.0
11.0,0.3673469387755101,0.3614457831325301,0.2311435523114355,0.09375,0.1417525773195876,0.1666666666666666,0.0675675675675675,0.1111111111111111,0.1428571428571428,0.1,0.0,0.0,0.4,0.0,0.3555555555555556,0.0,0.0303030303030303,0.2941176470588235,0.0566037735849056,0.1875,0.1428571428571428,0.5,0.125,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2,0.375
2.0,0.0816326530612244,0.0,0.0,0.0,0.018041237113402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111111111111111,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10.0,0.0816326530612244,0.2048192771084337,0.0681265206812652,0.03125,0.056701030927835,0.1333333333333333,0.0337837837837837,0.0,0.1428571428571428,0.1,0.0,0.0,0.0,0.0,0.0888888888888888,0.0,0.1515151515151515,0.0588235294117647,0.0188679245283018,0.25,0.1428571428571428,0.0833333333333333,0.0625,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.125
7.0,0.0612244897959183,0.0,0.0340632603406326,0.03125,0.0695876288659793,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0588235294117647,0.0377358490566037,0.0625,0.0714285714285714,0.0,0.0,0.1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.3061224489795918,0.3253012048192771,0.3284671532846715,0.09375,0.5773195876288659,0.1666666666666666,0.2094594594594594,0.1666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.3888888888888889,0.0571428571428571,0.6363636363636364,0.1176470588235294,0.4528301886792453,0.1875,0.0714285714285714,0.0833333333333333,0.125,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.2,0.0
